PurchaseID,VendorID,ProductID,PurchaseDate,Quantity,UnitCost,TotalCost,PaymentMethod,PaymentStatus,ReceivedDate,InvoiceNo,Notes
PO00001,VEND0026,PROD0044,2023-11-05,106,47.98,5085.88,Cash,Overdue,2023-11-08,INV-579798,
PO00002,VEND0011,PROD0063,2024-01-05,81,690.6,55938.6,Bank Transfer,Paid,2024-01-18,INV-428638,
PO00003,VEND0098,PROD0100,2024-07-14,15,8.75,131.25,Debit Card,Overdue,2024-07-18,INV-901619,
PO00004,VEND0079,PROD0056,2023-06-30,126,629.24,79284.24,Net Banking,Pending,2023-07-03,INV-522988,Urgent restock
PO00005,VEND0026,PROD0094,2023-03-19,123,309.74,38098.02,Bank Transfer,Paid,2023-03-28,INV-437864,Seasonal purchase
PO00006,VEND0094,PROD0032,2023-01-09,49,19.24,942.76,Debit Card,Paid,2023-01-20,INV-427252,
PO00007,VEND0009,PROD0006,2024-09-18,27,309.92,8367.84,Bank Transfer,Paid,2024-09-21,INV-578073,
PO00008,VEND0088,PROD0018,2024-11-22,134,479.11,64200.74,Bank Transfer,Pending,2024-11-29,INV-476701,
PO00009,VEND0030,PROD0029,2025-04-06,43,758.73,32625.39,Net Banking,Paid,2025-04-07,INV-321449,
PO00010,VEND0047,PROD0092,2023-12-13,6,473.81,2842.86,Net Banking,Paid,2023-12-15,INV-493417,
PO00011,VEND0007,PROD0085,2023-04-10,66,618.14,40797.24,Credit Card,Paid,2023-04-20,INV-150578,
PO00012,VEND0071,PROD0033,2025-02-17,30,336.34,10090.2,Cash,Paid,2025-02-19,INV-315477,
PO00013,VEND0085,PROD0013,2024-09-08,176,506.1,89073.6,Net Banking,Overdue,2024-09-15,INV-383091,Seasonal purchase
PO00014,VEND0014,PROD0066,2025-05-07,156,562.08,87684.48,Net Banking,Overdue,2025-05-21,INV-223453,Bulk order
PO00015,VEND0078,PROD0026,2025-10-16,30,628.88,18866.4,Cheque,Paid,2025-10-20,INV-971889,Seasonal purchase
PO00016,VEND0021,PROD0006,2025-04-19,52,289.55,15056.6,UPI,Pending,2025-04-24,INV-317782,
PO00017,VEND0086,PROD0012,2023-01-06,124,267.83,33210.92,Credit Card,Overdue,2023-01-07,INV-801520,Urgent restock
PO00018,VEND0093,PROD0093,2025-11-13,39,759.81,29632.59,Credit Card,Paid,2025-11-15,INV-775636,
PO00019,VEND0060,PROD0007,2024-08-29,117,790.99,92545.83,Credit Card,Paid,2024-09-03,INV-141360,Bulk order
PO00020,VEND0095,PROD0015,2024-10-02,93,642.27,59731.11,Credit Card,Paid,2024-10-09,INV-110142,
PO00021,VEND0057,PROD0080,2024-11-04,170,519.52,88318.4,Bank Transfer,Paid,2024-11-10,INV-490722,Bulk order
PO00022,VEND0035,PROD0050,2025-03-30,47,95.5,4488.5,Net Banking,Pending,2025-04-07,INV-938754,Urgent restock
PO00023,VEND0017,PROD0090,2023-12-08,167,709.47,118481.49,Net Banking,Paid,2023-12-10,INV-985364,
PO00024,VEND0073,PROD0087,2025-09-15,27,335.74,9064.98,Cash,Paid,2025-09-28,INV-741018,Urgent restock
PO00025,VEND0088,PROD0094,2023-03-01,200,290.09,58018.0,Debit Card,Pending,2023-03-15,INV-611833,
PO00026,VEND0084,PROD0041,2023-05-10,106,355.35,37667.1,Credit Card,Overdue,2023-05-15,INV-904812,
PO00027,VEND0044,PROD0067,2024-04-03,148,580.4,85899.2,UPI,Overdue,2024-04-14,INV-199868,Urgent restock
PO00028,VEND0085,PROD0087,2025-09-13,170,582.69,99057.3,Net Banking,Pending,2025-09-19,INV-255875,Seasonal purchase
PO00029,VEND0061,PROD0064,2023-11-18,157,48.38,7595.66,Cheque,Paid,2023-11-27,INV-178501,Urgent restock
PO00030,VEND0065,PROD0029,2024-07-23,83,196.51,16310.33,UPI,Pending,2024-07-24,INV-522866,
PO00031,VEND0064,PROD0058,2025-07-06,21,369.98,7769.58,Bank Transfer,Paid,2025-07-08,INV-621533,
PO00032,VEND0005,PROD0072,2025-04-06,168,19.13,3213.84,UPI,Paid,2025-04-13,INV-966028,
PO00033,VEND0072,PROD0027,2024-09-15,155,770.72,119461.6,Net Banking,Pending,2024-09-24,INV-457411,Bulk order
PO00034,VEND0072,PROD0099,2025-07-19,14,654.19,9158.66,UPI,Overdue,2025-07-25,INV-596116,
PO00035,VEND0013,PROD0098,2025-07-15,169,293.82,49655.58,Net Banking,Paid,2025-07-17,INV-102303,Bulk order
PO00036,VEND0067,PROD0048,2024-08-20,91,664.76,60493.16,Net Banking,Paid,2024-08-29,INV-148001,
PO00037,VEND0033,PROD0079,2025-04-18,127,116.66,14815.82,Debit Card,Paid,2025-04-20,INV-226611,Urgent restock
PO00038,VEND0044,PROD0014,2024-01-26,56,368.35,20627.6,Cheque,Pending,2024-02-07,INV-148759,
PO00039,VEND0085,PROD0076,2025-07-11,173,473.1,81846.3,UPI,Paid,2025-07-19,INV-623059,
PO00040,VEND0075,PROD0062,2025-06-05,136,590.29,80279.44,UPI,Paid,2025-06-19,INV-825423,Seasonal purchase
PO00041,VEND0050,PROD0085,2023-09-20,45,585.74,26358.3,UPI,Overdue,2023-09-22,INV-437477,Seasonal purchase
PO00042,VEND0051,PROD0044,2024-05-23,99,337.84,33446.16,Bank Transfer,Pending,2024-05-28,INV-943890,
PO00043,VEND0090,PROD0071,2025-11-15,36,333.13,11992.68,Cheque,Paid,2025-11-20,INV-846454,
PO00044,VEND0080,PROD0092,2024-02-16,142,507.9,72121.8,Bank Transfer,Paid,2024-02-20,INV-805034,
PO00045,VEND0070,PROD0089,2023-12-31,182,521.82,94971.24,Net Banking,Paid,2024-01-09,INV-844858,
PO00046,VEND0074,PROD0086,2025-09-10,195,285.03,55580.85,Net Banking,Pending,2025-09-20,INV-806995,
PO00047,VEND0002,PROD0067,2025-05-15,137,232.31,31826.47,Credit Card,Paid,2025-05-28,INV-499371,
PO00048,VEND0097,PROD0021,2024-02-14,14,537.85,7529.9,Bank Transfer,Paid,2024-02-19,INV-253541,
PO00049,VEND0070,PROD0005,2024-02-22,177,628.56,111255.12,Bank Transfer,Pending,2024-03-06,INV-207458,Seasonal purchase
PO00050,VEND0083,PROD0072,2024-04-04,173,592.9,102571.7,Cash,Paid,2024-04-16,INV-635740,
PO00051,VEND0050,PROD0054,2023-04-07,74,555.88,41135.12,Cheque,Paid,2023-04-14,INV-678944,
PO00052,VEND0100,PROD0057,2024-02-20,4,596.22,2384.88,Cheque,Paid,2024-03-01,INV-764575,
PO00053,VEND0093,PROD0025,2024-02-07,182,519.87,94616.34,Bank Transfer,Pending,2024-02-20,INV-286044,
PO00054,VEND0066,PROD0016,2023-12-22,20,153.65,3073.0,Cash,Paid,2024-01-03,INV-549323,Bulk order
PO00055,VEND0033,PROD0001,2023-11-26,143,215.07,30755.01,Bank Transfer,Pending,2023-12-06,INV-844163,
PO00056,VEND0007,PROD0100,2024-10-22,11,127.19,1399.09,Net Banking,Overdue,2024-11-01,INV-984096,
PO00057,VEND0091,PROD0041,2025-01-03,78,394.99,30809.22,UPI,Paid,2025-01-05,INV-292800,Seasonal purchase
