SaleID,CustomerID,ProductID,SaleDate,Quantity,UnitPrice,Discount_pct,TotalAmount,PaymentMethod,PaymentStatus,ShipDate,DeliveryStatus,SalespersonID
SALE00001,CUST0097,PROD0016,2025-12-24,20,723.78,20,11580.48,Credit Card,Pending,2025-12-29,Returned,EMP005
SALE00002,CUST0054,PROD0048,2025-06-02,20,651.75,0,13035.0,Cheque,Paid,2025-06-07,Returned,EMP017
SALE00003,CUST0045,PROD0076,2025-09-14,14,283.09,20,3170.61,Cheque,Refunded,2025-09-18,Delivered,EMP014
SALE00004,CUST0037,PROD0077,2024-04-21,5,312.88,20,1251.52,UPI,Pending,2024-04-22,Delivered,EMP007
SALE00005,CUST0067,PROD0016,2023-01-15,1,853.89,20,683.11,UPI,Paid,2023-01-20,Shipped,EMP007
SALE00006,CUST0084,PROD0075,2023-11-13,11,496.53,0,5461.83,Bank Transfer,Paid,2023-11-17,Processing,EMP014
SALE00007,CUST0053,PROD0071,2025-03-24,19,445.12,0,8457.28,Cheque,Refunded,2025-03-26,Shipped,EMP006
SALE00008,CUST0074,PROD0045,2024-06-03,12,675.32,5,7698.65,Cheque,Pending,2024-06-06,Returned,EMP005
SALE00009,CUST0028,PROD0066,2023-11-28,4,899.9,5,3419.62,Cash,Paid,2023-11-29,Processing,EMP020
SALE00010,CUST0019,PROD0061,2023-01-11,2,201.28,15,342.18,UPI,Pending,2023-01-12,Delivered,EMP003
SALE00011,CUST0052,PROD0079,2023-03-19,9,273.91,0,2465.19,Net Banking,Refunded,2023-03-23,Delivered,EMP020
SALE00012,CUST0057,PROD0002,2023-12-25,2,1135.4,20,1816.64,Debit Card,Refunded,2023-12-29,Delivered,EMP007
SALE00013,CUST0079,PROD0022,2025-11-22,2,942.91,10,1697.24,Net Banking,Paid,2025-11-24,Delivered,EMP008
SALE00014,CUST0046,PROD0086,2024-07-19,1,1171.02,0,1171.02,Cash,Pending,2024-07-23,Processing,EMP007
SALE00015,CUST0071,PROD0037,2023-05-21,17,28.29,15,408.79,Net Banking,Refunded,2023-05-22,Processing,EMP012
SALE00016,CUST0025,PROD0059,2024-04-08,12,1156.31,0,13875.72,Cash,Refunded,2024-04-13,Delivered,EMP009
SALE00017,CUST0038,PROD0044,2023-05-29,6,494.49,0,2966.94,Credit Card,Refunded,2023-06-03,Delivered,EMP018
SALE00018,CUST0062,PROD0099,2025-02-11,19,307.67,5,5553.44,Debit Card,Paid,2025-02-16,Shipped,EMP015
SALE00019,CUST0009,PROD0049,2023-08-27,19,1035.81,5,18696.37,Net Banking,Paid,2023-08-30,Returned,EMP008
SALE00020,CUST0002,PROD0090,2025-11-23,11,500.79,0,5508.69,Cheque,Paid,2025-11-28,Delivered,EMP010
SALE00021,CUST0071,PROD0023,2024-12-01,3,484.73,15,1236.06,Cash,Paid,2024-12-02,Delivered,EMP007
SALE00022,CUST0095,PROD0026,2024-01-25,19,330.2,15,5332.73,Debit Card,Paid,2024-01-29,Delivered,EMP007
SALE00023,CUST0100,PROD0014,2024-12-30,8,251.29,0,2010.32,Credit Card,Paid,2025-01-01,Returned,EMP016
SALE00024,CUST0048,PROD0080,2023-03-28,20,17.88,20,286.08,Bank Transfer,Pending,2023-04-01,Processing,EMP009
SALE00025,CUST0051,PROD0029,2025-11-12,16,227.62,20,2913.54,Cheque,Refunded,2025-11-15,Delivered,EMP002
SALE00026,CUST0045,PROD0051,2023-03-08,17,961.13,5,15522.25,Cheque,Paid,2023-03-13,Shipped,EMP004
SALE00027,CUST0087,PROD0027,2023-01-18,17,557.48,15,8055.59,Cash,Refunded,2023-01-19,Delivered,EMP011
SALE00028,CUST0034,PROD0031,2024-01-19,12,739.21,0,8870.52,Bank Transfer,Pending,2024-01-24,Processing,EMP011
SALE00029,CUST0090,PROD0097,2024-03-07,12,228.86,5,2609.0,Bank Transfer,Paid,2024-03-11,Shipped,EMP009
SALE00030,CUST0093,PROD0035,2024-04-13,15,224.07,0,3361.05,Cheque,Paid,2024-04-14,Processing,EMP014
SALE00031,CUST0002,PROD0023,2023-11-03,13,243.32,20,2530.53,Cash,Pending,2023-11-07,Delivered,EMP017
SALE00032,CUST0033,PROD0072,2025-09-23,18,867.47,20,12491.57,Cheque,Refunded,2025-09-26,Delivered,EMP013
SALE00033,CUST0061,PROD0081,2024-03-17,4,831.75,0,3327.0,Credit Card,Pending,2024-03-20,Returned,EMP011
SALE00034,CUST0003,PROD0053,2024-06-11,9,439.54,10,3560.27,Credit Card,Paid,2024-06-14,Returned,EMP020
SALE00035,CUST0046,PROD0042,2023-12-24,7,696.46,15,4143.94,Net Banking,Refunded,2023-12-27,Shipped,EMP015
SALE00036,CUST0022,PROD0082,2025-08-07,3,463.47,0,1390.41,Cheque,Paid,2025-08-09,Shipped,EMP020
SALE00037,CUST0044,PROD0030,2023-06-12,19,491.68,0,9341.92,Bank Transfer,Paid,2023-06-14,Returned,EMP010
SALE00038,CUST0100,PROD0047,2024-07-09,9,730.41,5,6245.01,Net Banking,Refunded,2024-07-13,Processing,EMP015
SALE00039,CUST0094,PROD0031,2023-02-17,14,209.11,20,2342.03,Net Banking,Paid,2023-02-19,Returned,EMP003
SALE00040,CUST0061,PROD0071,2023-07-15,7,208.62,0,1460.34,Credit Card,Paid,2023-07-16,Shipped,EMP017
SALE00041,CUST0084,PROD0050,2023-11-15,3,133.67,10,360.91,Bank Transfer,Paid,2023-11-16,Delivered,EMP010
